OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length
31699,29502,NZB,City Centre To Ellerslie Station Via Royal Oak,295,Bus,15321.0847195223
31700,29503,NZB,Ellerslie Station To Royal Oak,295,Bus,5913.39292222598
31701,29504,NZB,Royal Oak To Ellerslie Station,295,Bus,4943.71148600379
31702,29505,NZB,Royal Oak To City Centre,295,Bus,9749.05484805747
31703,29506,NZB,City Centre To Royal Oak,295,Bus,10384.2655313534
31704,29801,GBT,Onehunga To Sylvia Park Via Ellerslie,298,Bus,12426.1111405328
31705,29802,GBT,Sylvia Park To Onehunga Via Ellerslie,298,Bus,12755.7295266284
31706,30901,GBT,Mangere Town Centre To City Centre,309,Bus,25402.8117904993
31707,30902,GBT,City Centre To Mangere Town Centre,309,Bus,25026.8232413123
31708,30903,GBT,Mangere Town Centre To City Centre (Express),309X,Bus,23224.4882341423
31709,30904,GBT,City Centre To Mangere Town Centre Express,309X,Bus,23690.0537026036
31710,31303,GBT,Mangere To Manukau Bus Station Via Papatoetoe,313,Bus,12573.924325962
31711,31304,GBT,Manukau Bus Station To Mangere Via Papatoetoe,313,Bus,12120.8296474684
31712,31403,GBT,Ormiston To Middlemore Station Via Otara,314,Bus,10497.5068629244
31713,31404,GBT,Middlemore Station To Ormiston Via Otara,314,Bus,10571.7706055063
31714,32101,NZB,Middlemore Station To Britomart Via Greenlane Hospital,321,Bus,22224.0469152953
31715,32102,NZB,Britomart To Middlemore Station Via Greenlane Hospital,321,Bus,21995.5083885807
31716,32103,NZB,Middlemore Station To Ellerslie Station Via Otahuhu,321,Bus,10763.9711209696
31717,32301,GBT,Otahuhu Station To Panmure Via Panama Rd,323,Bus,11446.7434318222
